/ / * instancia.p[tarea] Math.max Math.max Math.max null null instancia.p[tarea] - instancia.p[tarea] - Math.max Math.max null null null null null null / - null null / - instancia.p[tarea] intervalo.inicio / - null null null null null null null null null null null null intervalo.inicio instancia.d[tarea] intervalo.inicio instancia.d[tarea] null null null null instancia.d[tarea] intervalo.inicio intervalo.inicio instancia.d[tarea] null null null null intervalo.inicio intervalo.inicio instancia.d[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / * instancia.p[tarea] Math.max Math.max Math.max null null Math.max - instancia.p[tarea] - Math.max Math.max null null null null instancia.p[tarea] instancia.p[tarea] / - null null / - Math.max - / - null null null null null null null null null null null null instancia.p[tarea] instancia.d[tarea] intervalo.inicio instancia.d[tarea] null null null null intervalo.inicio instancia.d[tarea] intervalo.inicio instancia.d[tarea] instancia.p[tarea] intervalo.inicio instancia.d[tarea] instancia.p[tarea] intervalo.inicio intervalo.inicio instancia.d[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / * instancia.p[tarea] Math.max Math.max Math.max null null instancia.p[tarea] - instancia.p[tarea] - Math.max Math.max null null null null null null / - null null / - instancia.p[tarea] intervalo.inicio - - null null null null null null null null null null null null intervalo.inicio instancia.d[tarea] intervalo.inicio instancia.d[tarea] null null null null intervalo.inicio intervalo.inicio intervalo.inicio instancia.d[tarea] null null null null intervalo.inicio instancia.p[tarea] instancia.d[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / * instancia.p[tarea] Math.max Math.max Math.max null null instancia.p[tarea] - instancia.p[tarea] - Math.max - null null null null null null / - null null / - instancia.p[tarea] intervalo.inicio / - null null null null null null null null null null null null instancia.d[tarea] instancia.d[tarea] intervalo.inicio instancia.d[tarea] null null null null intervalo.inicio intervalo.inicio intervalo.inicio instancia.d[tarea] null null null null intervalo.inicio instancia.d[tarea] instancia.p[tarea] instancia.d[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / * instancia.p[tarea] Math.max Math.max Math.max null null Math.max - instancia.p[tarea] - Math.max - null null null null instancia.p[tarea] instancia.p[tarea] / - null null 0.2 - instancia.p[tarea] intervalo.inicio instancia.d[tarea] instancia.p[tarea] null null null null null null null null null null null null intervalo.inicio intervalo.inicio intervalo.inicio instancia.d[tarea] null null null null null null intervalo.inicio instancia.d[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / * instancia.p[tarea] Math.max Math.max Math.max null null Math.max - instancia.p[tarea] - - Math.max null null null null instancia.p[tarea] instancia.p[tarea] / - null null / - / - Math.max - null null null null null null null null null null null null instancia.p[tarea] instancia.p[tarea] intervalo.inicio instancia.d[tarea] null null null null intervalo.inicio intervalo.inicio intervalo.inicio instancia.d[tarea] intervalo.inicio intervalo.inicio intervalo.inicio instancia.d[tarea] intervalo.inicio instancia.p[tarea] instancia.d[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / * instancia.p[tarea] Math.max Math.max Math.max null null Math.max - instancia.p[tarea] - - Math.max null null null null instancia.p[tarea] instancia.p[tarea] instancia.d[tarea] intervalo.inicio null null / - / - Math.max - null null null null null null null null null null null null null null null null null null null null intervalo.inicio intervalo.inicio intervalo.inicio instancia.d[tarea] instancia.p[tarea] intervalo.inicio intervalo.inicio instancia.d[tarea] intervalo.inicio instancia.p[tarea] instancia.d[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / * instancia.p[tarea] Math.max Math.max Math.max null null Math.max - instancia.p[tarea] - - Math.max null null null null instancia.p[tarea] instancia.p[tarea] instancia.d[tarea] intervalo.inicio null null / - / - Math.max - null null null null null null null null null null null null null null null null null null null null intervalo.inicio intervalo.inicio intervalo.inicio instancia.d[tarea] intervalo.inicio intervalo.inicio intervalo.inicio instancia.d[tarea] intervalo.inicio instancia.p[tarea] instancia.d[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / * instancia.p[tarea] Math.max Math.max Math.max null null Math.max - instancia.p[tarea] - Math.max Math.max null null null null instancia.p[tarea] instancia.p[tarea] / - null null / - intervalo.inicio instancia.p[tarea] Math.max - null null null null null null null null null null null null intervalo.inicio intervalo.inicio intervalo.inicio instancia.d[tarea] null null null null intervalo.inicio instancia.d[tarea] intervalo.inicio instancia.d[tarea] null null null null promedioDuraciones() instancia.p[tarea] instancia.d[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / * instancia.p[tarea] Math.max Math.max Math.max null null Math.max - instancia.p[tarea] - Math.max Math.max null null null null instancia.p[tarea] instancia.p[tarea] / - null null / - instancia.p[tarea] intervalo.inicio - - null null null null null null null null null null null null instancia.p[tarea] instancia.p[tarea] intervalo.inicio instancia.d[tarea] null null null null intervalo.inicio intervalo.inicio intervalo.inicio instancia.d[tarea] null null null null instancia.d[tarea] instancia.p[tarea] instancia.d[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / * instancia.p[tarea] Math.max Math.max Math.max null null Math.max - instancia.p[tarea] - Math.max Math.max null null null null instancia.p[tarea] instancia.p[tarea] / - null null / - instancia.p[tarea] instancia.p[tarea] Math.max - null null null null null null null null null null null null instancia.p[tarea] promedioDuraciones() intervalo.inicio instancia.d[tarea] null null null null intervalo.inicio intervalo.inicio intervalo.inicio instancia.d[tarea] null null null null instancia.p[tarea] intervalo.inicio instancia.d[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / * instancia.p[tarea] Math.max Math.max Math.max null null instancia.p[tarea] - instancia.p[tarea] - Math.max Math.max null null null null null null / - null null / - instancia.p[tarea] intervalo.inicio / - null null null null null null null null null null null null instancia.p[tarea] intervalo.inicio intervalo.inicio instancia.d[tarea] null null null null instancia.p[tarea] instancia.d[tarea] intervalo.inicio instancia.d[tarea] null null null null intervalo.inicio intervalo.inicio instancia.d[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / * instancia.p[tarea] Math.max Math.max Math.max null null instancia.p[tarea] - instancia.p[tarea] - Math.max - null null null null null null / - null null / - instancia.p[tarea] intervalo.inicio / - null null null null null null null null null null null null instancia.p[tarea] instancia.d[tarea] intervalo.inicio instancia.d[tarea] null null null null intervalo.inicio intervalo.inicio intervalo.inicio instancia.d[tarea] null null null null intervalo.inicio instancia.d[tarea] instancia.p[tarea] instancia.d[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / * instancia.p[tarea] Math.max Math.max Math.max null null Math.max - instancia.p[tarea] - Math.max Math.max null null null null instancia.p[tarea] instancia.p[tarea] / - null null / - instancia.p[tarea] intervalo.inicio / - null null null null null null null null null null null null instancia.p[tarea] instancia.d[tarea] intervalo.inicio instancia.d[tarea] null null null null instancia.d[tarea] intervalo.inicio intervalo.inicio instancia.d[tarea] null null null null intervalo.inicio intervalo.inicio instancia.d[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / * instancia.p[tarea] Math.max Math.max Math.max null null Math.max - instancia.p[tarea] - Math.max Math.max null null null null instancia.p[tarea] instancia.p[tarea] / - null null / - instancia.p[tarea] intervalo.inicio Math.max - null null null null null null null null null null null null intervalo.inicio intervalo.inicio intervalo.inicio instancia.d[tarea] null null null null intervalo.inicio intervalo.inicio intervalo.inicio instancia.d[tarea] null null null null instancia.p[tarea] promedioDuraciones() instancia.d[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / * instancia.p[tarea] Math.max Math.max Math.max null null Math.max - instancia.p[tarea] - - Math.max null null null null instancia.p[tarea] instancia.p[tarea] / - null null / - / - Math.max - null null null null null null null null null null null null instancia.p[tarea] promedioDuraciones() intervalo.inicio instancia.d[tarea] null null null null intervalo.inicio intervalo.inicio intervalo.inicio instancia.d[tarea] intervalo.inicio intervalo.inicio intervalo.inicio instancia.d[tarea] instancia.p[tarea] intervalo.inicio instancia.d[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / * instancia.p[tarea] Math.max Math.max Math.max null null instancia.p[tarea] - instancia.p[tarea] - Math.max Math.max null null null null null null / - null null / - instancia.p[tarea] intervalo.inicio / - null null null null null null null null null null null null instancia.d[tarea] intervalo.inicio intervalo.inicio instancia.d[tarea] null null null null instancia.d[tarea] intervalo.inicio intervalo.inicio instancia.d[tarea] null null null null intervalo.inicio intervalo.inicio instancia.d[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / * instancia.p[tarea] Math.max Math.max Math.max null null instancia.p[tarea] - instancia.p[tarea] - Math.max Math.max null null null null null null / - null null - - instancia.p[tarea] intervalo.inicio / - null null null null null null null null null null null null intervalo.inicio intervalo.inicio intervalo.inicio instancia.d[tarea] null null null null intervalo.inicio intervalo.inicio intervalo.inicio instancia.d[tarea] null null null null instancia.d[tarea] instancia.d[tarea] instancia.d[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / * instancia.p[tarea] Math.max Math.max Math.max null null instancia.p[tarea] - instancia.p[tarea] - - Math.max null null null null null null / - null null / - / - Math.max - null null null null null null null null null null null null intervalo.inicio instancia.d[tarea] intervalo.inicio instancia.d[tarea] null null null null intervalo.inicio intervalo.inicio intervalo.inicio instancia.d[tarea] instancia.d[tarea] instancia.d[tarea] intervalo.inicio instancia.d[tarea] intervalo.inicio instancia.p[tarea] instancia.d[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / * instancia.p[tarea] Math.max Math.max Math.max null null instancia.p[tarea] - instancia.p[tarea] - Math.max Math.max null null null null null null / - null null / - instancia.p[tarea] intervalo.inicio / - null null null null null null null null null null null null intervalo.inicio instancia.d[tarea] intervalo.inicio instancia.d[tarea] null null null null instancia.p[tarea] intervalo.inicio intervalo.inicio instancia.d[tarea] null null null null intervalo.inicio intervalo.inicio instancia.d[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / * instancia.p[tarea] Math.max Math.max Math.max null null Math.max - instancia.p[tarea] - Math.max Math.max null null null null instancia.p[tarea] instancia.p[tarea] instancia.d[tarea] intervalo.inicio null null / - instancia.p[tarea] intervalo.inicio Math.max - null null null null null null null null null null null null null null null null null null null null intervalo.inicio intervalo.inicio intervalo.inicio instancia.d[tarea] null null null null instancia.p[tarea] promedioDuraciones() instancia.d[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / * instancia.p[tarea] Math.max Math.max Math.max null null instancia.p[tarea] - instancia.p[tarea] - - Math.max null null null null null null / - null null / - / - Math.max - null null null null null null null null null null null null intervalo.inicio instancia.d[tarea] intervalo.inicio instancia.d[tarea] null null null null intervalo.inicio intervalo.inicio intervalo.inicio instancia.d[tarea] intervalo.inicio instancia.d[tarea] intervalo.inicio instancia.d[tarea] intervalo.inicio instancia.p[tarea] instancia.d[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / * instancia.p[tarea] Math.max Math.max Math.max null null Math.max - instancia.p[tarea] - Math.max Math.max null null null null instancia.p[tarea] instancia.p[tarea] / - null null / - instancia.p[tarea] intervalo.inicio - - null null null null null null null null null null null null instancia.p[tarea] promedioDuraciones() intervalo.inicio instancia.d[tarea] null null null null intervalo.inicio intervalo.inicio intervalo.inicio instancia.d[tarea] null null null null instancia.d[tarea] intervalo.inicio instancia.d[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / * instancia.p[tarea] Math.max Math.max Math.max null null Math.max - instancia.p[tarea] - Math.max Math.max null null null null instancia.p[tarea] instancia.p[tarea] / - null null / - promedioDuraciones() intervalo.inicio Math.max - null null null null null null null null null null null null instancia.p[tarea] promedioDuraciones() intervalo.inicio instancia.d[tarea] null null null null intervalo.inicio intervalo.inicio intervalo.inicio instancia.d[tarea] null null null null instancia.p[tarea] instancia.p[tarea] instancia.d[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / * instancia.p[tarea] Math.max Math.max Math.max null null instancia.p[tarea] - instancia.p[tarea] - Math.max Math.max null null null null null null / - null null / - instancia.p[tarea] intervalo.inicio / - null null null null null null null null null null null null intervalo.inicio instancia.d[tarea] intervalo.inicio instancia.d[tarea] null null null null instancia.d[tarea] intervalo.inicio intervalo.inicio instancia.d[tarea] null null null null intervalo.inicio intervalo.inicio instancia.d[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / * instancia.p[tarea] Math.max Math.max Math.max null null intervalo.inicio - instancia.p[tarea] - instancia.p[tarea] - null null null null null null / - null null / - null null / - null null null null null null null null null null null null intervalo.inicio instancia.d[tarea] intervalo.inicio instancia.d[tarea] null null null null instancia.p[tarea] intervalo.inicio intervalo.inicio instancia.d[tarea] null null null null intervalo.inicio intervalo.inicio intervalo.inicio instancia.d[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / * instancia.p[tarea] Math.max Math.max Math.max null null Math.max - instancia.p[tarea] - Math.max - null null null null instancia.p[tarea] instancia.p[tarea] / - null null / - instancia.p[tarea] intervalo.inicio / - null null null null null null null null null null null null intervalo.inicio intervalo.inicio intervalo.inicio instancia.d[tarea] null null null null intervalo.inicio intervalo.inicio intervalo.inicio instancia.d[tarea] null null null null intervalo.inicio intervalo.inicio intervalo.inicio instancia.d[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / * instancia.p[tarea] Math.max Math.max Math.max null null Math.max - instancia.p[tarea] - Math.max Math.max null null null null instancia.p[tarea] instancia.p[tarea] / - null null / - Math.max - Math.max - null null null null null null null null null null null null promedioDuraciones() promedioDuraciones() intervalo.inicio instancia.d[tarea] null null null null intervalo.inicio intervalo.inicio intervalo.inicio instancia.d[tarea] instancia.p[tarea] instancia.p[tarea] instancia.p[tarea] intervalo.inicio intervalo.inicio instancia.p[tarea] instancia.d[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ + * 0.0 Math.max Math.max Math.max null null instancia.p[tarea] - instancia.p[tarea] - instancia.p[tarea] - null null null null null null Math.max - null null / - null null / - null null null null null null null null null null null null instancia.p[tarea] instancia.p[tarea] intervalo.inicio promedioDuraciones() null null null null intervalo.inicio intervalo.inicio intervalo.inicio instancia.d[tarea] null null null null instancia.p[tarea] promedioDuraciones() intervalo.inicio instancia.d[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / * instancia.p[tarea] Math.max Math.max Math.max null null Math.max - instancia.p[tarea] - Math.max - null null null null instancia.p[tarea] instancia.p[tarea] / - null null / - instancia.p[tarea] intervalo.inicio / - null null null null null null null null null null null null instancia.p[tarea] promedioDuraciones() intervalo.inicio instancia.d[tarea] null null null null intervalo.inicio intervalo.inicio intervalo.inicio instancia.d[tarea] null null null null instancia.p[tarea] promedioDuraciones() intervalo.inicio instancia.d[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / * instancia.p[tarea] Math.max Math.max Math.max null null Math.max - instancia.p[tarea] - Math.max Math.max null null null null instancia.p[tarea] instancia.p[tarea] / - null null / - intervalo.inicio intervalo.inicio Math.max - null null null null null null null null null null null null instancia.p[tarea] promedioDuraciones() intervalo.inicio instancia.d[tarea] null null null null intervalo.inicio intervalo.inicio intervalo.inicio instancia.d[tarea] null null null null instancia.p[tarea] instancia.p[tarea] instancia.d[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
